CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-1,43,30,15,27,13,3,72,58,50,30.18,29.95,29.75,10,10,9,25,18,34,0.00,6,,248
2011-1-2,25,18,12,14,7,4,71,59,42,30.27,30.22,30.17,10,10,10,21,13,25,0.00,1,,232
2011-1-3,36,28,21,23,17,14,72,61,46,30.16,30.08,29.96,10,10,10,14,8,,0.00,5,,214
2011-1-4,30,23,14,22,13,5,75,66,58,30.14,30.03,29.92,10,10,10,16,11,24,0.00,2,,263
2011-1-5,32,22,12,23,13,4,73,65,51,30.11,29.95,29.75,10,10,9,13,6,17,0.00,6,Snow,213
2011-1-6,28,24,19,21,13,3,75,62,37,29.77,29.70,29.63,10,8,1,20,10,24,0.00,7,Snow,296
2011-1-7,21,18,12,14,8,4,80,66,48,29.60,29.49,29.41,10,6,1,18,10,25,0.00,8,Snow,296
2011-1-8,24,17,10,9,5,1,70,62,51,30.15,29.85,29.53,10,10,8,18,13,25,0.00,2,Snow,302
2011-1-9,30,20,10,13,8,3,73,59,40,30.44,30.34,30.17,10,10,10,7,4,,0.00,3,,260
2011-1-10,32,26,21,17,13,5,74,59,35,30.47,30.40,30.28,10,10,10,14,6,,0.00,7,,105
2011-1-11,27,25,23,22,20,13,86,79,58,30.28,30.13,30.02,10,3,0,18,9,26,0.09,8,Fog-Snow,45
2011-1-12,28,24,21,18,16,15,80,68,58,30.51,30.39,30.21,10,10,7,20,14,28,0.00,7,Snow,312
2011-1-13,24,20,15,17,14,10,79,74,65,30.55,30.46,30.35,10,7,2,12,8,,0.00,8,Snow,236
