CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-1,9,5,1,1,-2,-8,78,68,56,30.05,29.71,29.52,10,6,1,22,15,31,0.00,6,Snow,236
2011-1-2,16,7,-2,9,0,-8,77,68,51,30.09,30.04,30.01,10,10,6,9,5,,0.00,4,Snow,205
2011-1-3,19,12,5,12,9,1,100,79,68,30.06,29.98,29.91,10,5,1,10,2,,0.00,7,Snow,304
2011-1-4,9,2,-5,1,-4,-10,80,75,67,30.09,30.06,29.97,10,9,7,8,6,,0.00,1,,232
2011-1-5,24,16,8,18,12,2,86,79,74,29.94,29.82,29.73,8,6,1,10,5,,0.00,6,Snow,253
2011-1-6,15,10,5,9,5,2,87,72,61,29.88,29.79,29.62,10,8,2,8,5,,0.00,4,Snow,308
2011-1-7,15,10,5,8,3,0,92,72,62,29.82,29.65,29.53,10,7,2,21,10,31,0.00,7,Snow,318
2011-1-8,10,4,-2,1,-3,-8,83,69,59,30.22,30.07,29.85,10,10,8,12,6,,0.00,1,,331
2011-1-9,17,4,-8,5,-3,-15,83,68,56,30.41,30.35,30.23,10,8,5,5,1,,0.00,1,,97
2011-1-10,21,16,12,16,13,3,86,79,65,30.44,30.38,30.32,10,3,1,8,4,,0.00,8,Snow,68
2011-1-11,24,20,17,18,16,13,88,83,75,30.45,30.32,30.26,10,4,2,8,4,,0.00,7,Snow,4
2011-1-12,19,12,3,14,7,0,88,79,68,30.63,30.58,30.47,10,10,8,8,6,,0.00,1,,298
2011-1-13,17,9,1,10,6,-4,85,78,71,30.54,30.28,30.16,10,4,0,13,6,17,0.00,7,Snow,153
2011-1-14,18,16,15,16,12,8,93,80,71,30.29,30.14,30.02,7,3,0,13,3,,0.00,7,Fog-Snow,264
2011-1-15,15,8,1,9,0,-5,80,67,49,30.41,30.30,30.10,10,10,5,13,10,,0.00,0,,330
2011-1-16,16,9,3,8,0,-6,78,69,64,30.40,30.20,29.87,10,8,2,15,5,22,0.00,8,Snow,126
2011-1-17,25,21,17,20,15,8,86,78,68,29.86,29.67,29.56,10,4,1,16,11,24,0.00,8,Snow,143
2011-1-18,17,12,7,8,0,-2,71,65,59,30.19,30.10,29.89,10,10,9,13,10,18,0.00,7,,353
2011-1-19,10,4,-2,1,-2,-10,85,73,56,30.24,30.17,30.11,10,8,2,8,5,,0.00,4,Snow,285
2011-1-20,8,0,-13,1,-7,-21,79,68,55,30.21,30.16,30.08,10,9,2,20,9,25,0.00,3,Snow,277
2011-1-21,3,-8,-20,-2,-13,-27,78,70,55,30.21,30.03,29.80,10,7,1,9,4,,0.00,5,Snow,175
2011-1-22,5,0,-6,-1,-9,-14,80,66,50,30.32,30.05,29.85,10,9,5,10,5,,0.00,2,Snow,339
2011-1-23,12,0,-11,2,-6,-18,86,67,53,30.35,30.17,29.87,10,10,10,17,5,24,0.00,3,,176
2011-1-24,27,20,12,21,12,3,81,75,67,30.10,29.89,29.77,10,7,2,14,9,17,0.00,8,Snow,220
2011-1-25,19,14,8,12,7,3,80,72,65,30.11,30.07,30.02,10,9,7,10,6,,0.00,5,,237
2011-1-26,26,20,15,18,15,10,86,77,63,30.17,30.04,29.87,10,8,4,13,4,,0.22,6,,224
2011-1-27,28,24,21,23,20,18,93,85,75,29.90,29.82,29.76,10,4,1,7,4,,0.00,8,Snow,301
2011-1-28,34,28,24,28,22,18,86,80,74,29.89,29.75,29.63,10,7,3,15,6,21,0.00,8,Snow,177
2011-1-29,34,24,15,28,16,7,81,73,68,30.25,30.01,29.75,10,10,7,14,11,23,0.02,8,,305
2011-1-30,21,18,14,13,10,7,84,73,62,30.48,30.39,30.22,10,7,2,10,6,,0.00,7,Snow,14
2011-1-31,19,16,14,14,12,8,84,78,73,30.49,30.40,30.32,10,3,1,13,7,,0.00,8,Snow,54
2011-2-1,14,8,3,7,-1,-7,79,64,45,30.65,30.54,30.45,10,9,2,15,10,24,0.00,2,Snow,2
2011-2-2,8,2,-5,-8,-12,-16,62,55,44,30.59,30.53,30.45,10,10,10,15,11,22,0.00,0,,283
2011-2-3,19,10,0,6,-1,-13,73,58,43,30.42,30.17,30.02,10,10,10,21,10,29,0.00,3,,215
2011-2-4,34,22,9,24,15,4,89,76,64,30.06,29.82,29.68,10,9,3,10,6,,0.20,0,,206
2011-2-5,28,20,12,25,17,8,100,87,79,29.82,29.66,29.56,6,3,0,7,1,,0.00,5,Fog-Snow,63
2011-2-6,28,26,23,25,21,17,88,76,64,30.14,29.99,29.79,10,8,2,13,5,,0.00,8,Snow,345
2011-2-7,23,12,0,19,0,-10,85,67,55,30.40,30.22,30.11,10,10,6,14,10,,0.00,5,Snow,337
2011-2-8,3,-3,-9,-9,-12,-17,71,61,55,30.55,30.43,30.34,10,10,10,16,10,20,0.00,1,,258
2011-2-9,7,0,-6,-7,-11,-15,75,63,53,30.34,30.29,30.20,10,10,10,16,9,,0.00,0,,261
2011-2-10,12,-1,-14,-2,-9,-19,87,69,49,30.18,30.00,29.93,10,10,7,7,2,,0.00,0,,227
2011-2-11,30,10,-9,25,9,-15,86,76,66,29.95,29.85,29.73,10,8,2,12,4,,0.00,5,Snow,226
2011-2-12,37,28,19,26,23,17,89,79,64,29.97,29.86,29.70,10,10,7,9,6,,0.00,3,,202
2011-2-13,46,34,23,31,28,21,92,65,50,29.68,29.50,29.37,10,10,8,28,10,37,0.00,2,,242
2011-2-14,39,36,32,31,29,26,85,74,67,30.22,30.07,29.68,10,10,10,21,13,32,0.00,6,,280
2011-2-15,41,36,30,30,29,27,89,77,62,30.12,29.92,29.80,10,9,5,21,12,31,0.00,2,,170
2011-2-16,54,41,28,38,31,26,93,76,35,29.85,29.70,29.53,10,7,1,15,7,23,0.00,2,,161
2011-2-17,44,37,28,43,35,18,100,86,64,29.78,29.46,29.28,10,4,0,28,12,44,0.01,6,Fog,206
2011-2-18,28,22,14,19,11,6,71,64,57,30.45,30.09,29.78,10,10,10,21,16,30,0.00,2,,277
2011-2-19,28,19,10,13,6,0,68,59,47,30.53,30.40,30.24,10,10,10,10,6,,0.00,3,,60
2011-2-20,28,26,23,23,20,13,88,77,62,30.22,29.87,29.72,10,3,0,20,10,31,0.00,8,Fog-Snow,53
2011-2-21,23,20,6,19,17,4,91,83,74,30.13,29.89,29.79,10,3,1,16,10,24,0.00,8,Rain-Snow,59
2011-2-22,27,12,-2,20,6,-6,100,80,63,30.23,30.15,30.09,10,7,0,14,4,21,0.15,4,Fog-Snow,161
2011-2-23,35,30,25,26,22,19,81,73,64,30.12,30.00,29.89,8,7,5,15,12,22,0.02,4,,188
2011-2-24,28,22,14,21,9,-3,80,61,42,30.25,30.20,30.11,10,9,6,14,10,,0.00,3,,323
2011-2-25,12,8,1,-2,-5,-9,78,63,49,30.35,30.31,30.25,10,8,2,13,10,21,0.00,4,Snow,318
2011-2-26,8,3,-2,1,-4,-11,85,73,66,30.26,30.00,29.82,10,4,1,7,2,,0.00,6,Snow,206
2011-2-27,27,12,-2,20,8,-7,87,78,67,29.91,29.77,29.68,10,6,3,14,4,17,0.01,5,,229
2011-2-28,26,14,3,11,4,-1,88,62,41,30.25,30.16,29.93,10,10,9,10,5,,0.05,0,,222
2011-3-1,36,21,3,21,11,-9,75,63,52,30.49,30.14,29.98,10,10,10,22,11,30,0.00,0,,246
2011-3-2,16,7,-2,-2,-9,-15,58,48,34,30.69,30.57,30.37,10,10,9,12,8,,0.00,2,,29
2011-3-3,30,23,16,23,15,-1,78,66,47,30.36,30.15,30.03,10,10,8,10,6,,0.00,8,,96
2011-3-4,28,26,21,23,19,10,81,72,60,30.33,30.18,30.06,10,7,4,14,7,,0.00,8,,346
2011-3-5,28,21,14,11,9,6,71,60,47,30.44,30.39,30.35,10,10,10,14,9,18,0.00,3,,344
2011-3-6,30,18,6,25,18,1,88,79,58,30.38,30.22,30.13,10,5,1,13,3,20,0.00,5,Snow,108
2011-3-7,28,26,24,25,20,18,93,79,69,30.23,30.17,30.11,10,7,2,8,5,,0.12,8,Snow,345
2011-3-8,37,32,26,28,25,19,85,75,65,30.28,30.21,30.12,10,7,5,12,4,18,0.04,6,,64
2011-3-9,36,33,30,29,28,26,93,82,70,30.16,30.06,30.01,10,4,1,13,7,18,0.05,8,Snow,9
2011-3-10,32,26,21,25,22,19,93,81,69,30.28,30.21,30.14,9,6,2,15,8,21,0.00,5,,265
2011-3-11,43,32,21,32,24,18,93,79,53,30.15,29.79,29.54,10,5,1,25,11,34,0.01,6,Snow,188
2011-3-12,30,24,16,25,12,8,86,72,60,30.32,29.91,29.57,10,6,2,24,18,36,0.00,8,Snow,289
2011-3-13,28,22,15,18,13,8,88,74,63,30.49,30.43,30.30,10,9,6,9,6,,0.00,6,,309
2011-3-14,39,24,10,28,19,8,92,73,53,30.48,30.33,30.17,10,8,6,14,5,18,0.00,0,,177
2011-3-15,42,37,32,34,30,25,85,75,58,30.17,30.06,29.99,10,8,4,15,8,20,0.04,1,Rain,197
2011-3-16,51,38,26,39,30,23,93,76,43,30.03,29.89,29.64,10,7,1,18,6,29,0.01,0,Fog,168
2011-3-17,52,44,37,39,35,28,93,71,59,30.03,29.77,29.62,10,9,6,21,10,26,0.00,1,,270
2011-3-18,37,34,28,29,25,22,78,68,57,30.42,30.26,30.01,10,10,10,17,11,23,0.00,4,,286
2011-3-19,50,36,24,32,25,20,100,77,46,30.45,30.36,30.18,10,6,0,14,5,26,0.00,4,Fog-Rain,145
2011-3-20,45,42,37,43,39,33,96,86,65,30.14,29.94,29.83,10,5,1,20,11,32,0.11,8,Rain,159
2011-3-21,44,40,35,34,32,30,87,75,61,30.15,30.08,29.98,10,9,6,13,8,,0.00,7,,359
2011-3-22,39,36,33,34,32,30,89,85,75,29.94,29.71,29.60,10,6,1,23,14,34,0.85,8,Rain-Snow-Thunderstorm,79
2011-3-23,33,27,19,30,23,9,93,80,58,30.22,29.78,29.59,10,3,0,20,14,31,0.08,7,Fog-Snow,46
2011-3-24,32,20,10,14,10,5,84,64,42,30.34,30.26,30.18,10,10,9,5,3,,0.44,0,,358
2011-3-25,33,23,14,12,8,3,88,53,32,30.27,30.20,30.16,10,10,9,10,3,,0.00,0,,76
2011-3-26,30,22,14,11,6,0,74,50,36,30.32,30.28,30.26,10,10,10,10,5,,0.00,0,,53
2011-3-27,34,23,12,12,9,6,84,52,31,30.36,30.31,30.25,10,10,10,8,2,,0.00,1,,62
2011-3-28,37,24,12,15,8,2,88,52,25,30.37,30.32,30.27,10,10,9,8,1,,0.00,0,,96
2011-3-29,42,30,17,14,9,3,78,47,21,30.40,30.34,30.28,10,10,10,7,1,,0.00,0,,54
2011-3-30,45,30,17,21,12,5,81,48,20,30.27,30.12,29.94,10,10,10,9,1,,0.00,1,,316
2011-3-31,46,40,33,36,24,17,86,54,40,29.93,29.76,29.62,10,9,4,10,3,24,0.09,7,Rain,180
2011-4-1,48,40,33,36,33,30,96,81,61,29.73,29.61,29.54,10,6,2,16,7,21,0.13,7,Rain-Snow,276
2011-4-2,52,42,32,33,30,28,88,63,40,29.91,29.84,29.75,10,10,8,10,7,,0.00,1,,272
2011-4-3,55,48,42,40,35,30,89,64,50,29.67,29.40,29.28,10,9,5,16,10,26,0.04,4,Rain,79
2011-4-4,46,41,35,39,29,17,87,68,31,29.79,29.59,29.37,10,9,5,24,12,34,0.02,6,Rain-Snow,316
2011-4-5,55,42,30,31,27,24,82,52,34,29.78,29.67,29.59,10,10,10,14,7,22,0.00,1,,238
2011-4-6,57,47,37,33,30,26,76,53,30,29.94,29.79,29.64,10,10,10,10,5,,0.00,1,,311
2011-4-7,66,48,32,33,28,26,79,49,24,29.98,29.93,29.87,10,10,10,15,5,23,0.00,0,,151
2011-4-8,66,50,37,42,36,27,79,56,27,30.00,29.94,29.89,10,10,7,16,6,21,0.00,2,,139
2011-4-9,60,54,48,48,45,43,93,76,60,29.91,29.81,29.60,10,7,2,15,9,20,0.02,8,Rain-Thunderstorm,135
2011-4-10,73,60,46,61,51,40,94,82,62,29.60,29.39,29.22,10,7,2,22,11,37,0.36,6,Rain-Thunderstorm,223
2011-4-11,63,53,44,43,35,28,87,57,28,29.96,29.75,29.53,10,10,10,20,15,31,0.00,3,Rain,304
2011-4-12,69,53,37,38,35,32,83,48,25,30.06,29.99,29.93,10,10,10,12,4,17,0.00,0,,177
2011-4-13,61,53,44,38,28,15,68,39,20,30.18,30.09,29.94,10,10,10,17,10,24,0.00,2,Rain,352
2011-4-14,48,40,33,26,25,23,75,53,36,30.28,30.22,30.16,10,10,10,16,11,24,0.00,4,Rain,63
2011-4-15,48,40,33,32,23,6,93,57,18,30.16,29.90,29.78,10,8,2,20,13,34,0.07,5,Rain-Snow,71
2011-4-16,41,36,32,32,28,21,93,77,53,29.78,29.69,29.64,10,6,2,21,9,34,0.06,8,Snow,335
2011-4-17,48,40,33,23,20,18,66,47,32,29.91,29.83,29.77,10,10,10,17,12,24,0.00,2,,332
2011-4-18,51,42,35,25,22,20,57,46,33,30.01,29.95,29.89,10,10,10,9,6,,0.00,5,,65
2011-4-19,45,41,37,30,25,20,76,54,37,30.01,29.98,29.94,10,10,10,14,9,21,0.00,4,,77
2011-4-20,46,38,32,35,31,29,93,84,53,30.25,30.07,29.98,10,4,0,12,4,,0.20,7,Fog-Snow,338
2011-4-21,50,37,26,36,30,25,96,78,41,30.32,30.22,30.10,10,7,0,14,3,20,0.07,2,Fog-Rain,136
2011-4-22,45,42,39,41,38,34,93,85,76,30.07,29.78,29.60,10,6,2,13,8,21,0.08,8,Rain,107
2011-4-23,48,44,41,41,37,34,93,76,58,30.03,29.81,29.57,10,8,2,14,7,,0.03,7,Rain,314
2011-4-24,61,45,30,38,31,28,100,64,31,30.06,30.01,29.94,10,8,1,10,2,17,0.00,0,,220
2011-4-25,64,50,37,36,30,24,79,44,23,29.98,29.86,29.67,10,10,10,15,4,21,0.00,1,,111
2011-4-26,57,47,37,45,38,30,93,79,37,29.66,29.55,29.48,10,6,2,21,12,31,0.95,8,Rain,42
2011-4-27,43,39,35,34,31,28,89,74,58,29.68,29.63,29.58,10,10,6,17,10,24,0.02,8,Rain-Snow,354
2011-4-28,57,46,35,37,34,29,89,74,36,29.90,29.76,29.65,10,10,7,16,9,22,0.07,6,Rain-Snow,330
2011-4-29,66,50,37,37,34,32,93,56,31,29.92,29.84,29.70,10,10,7,21,8,29,0.05,2,Rain,149
2011-4-30,61,52,45,48,41,25,93,71,43,29.69,29.56,29.49,10,8,2,23,14,33,0.62,7,Rain,185
2011-5-1,43,38,33,26,23,19,65,56,49,30.09,29.84,29.62,10,10,10,24,18,33,0.00,8,,260
2011-5-2,41,37,33,27,24,21,73,60,47,30.33,30.24,30.08,10,10,10,18,11,26,0.00,8,,314
2011-5-3,59,44,30,28,25,23,79,49,27,30.33,30.31,30.27,10,10,10,15,4,22,0.00,0,,21
2011-5-4,66,50,33,31,26,23,82,41,21,30.35,30.26,30.13,10,10,10,20,7,28,0.00,0,,153
2011-5-5,63,54,45,43,40,27,90,67,33,30.12,29.95,29.88,10,9,2,17,8,25,0.34,6,Rain,313
2011-5-6,69,54,41,41,35,31,86,47,25,29.88,29.80,29.74,10,10,10,8,3,,0.00,2,,31
2011-5-7,70,60,51,43,39,35,69,45,36,29.87,29.79,29.72,10,10,10,7,4,,0.00,2,,110
2011-5-8,64,58,52,51,43,38,84,57,41,29.96,29.88,29.81,10,9,3,16,7,24,0.18,1,Rain,136
2011-5-9,69,62,55,54,51,40,88,71,46,29.87,29.72,29.63,10,9,2,17,11,28,0.44,7,Rain-Thunderstorm,114
2011-5-10,87,71,55,71,61,47,77,66,57,29.64,29.56,29.47,10,9,7,15,9,23,0.01,2,Rain-Thunderstorm,111
2011-5-11,77,65,55,61,57,54,93,71,48,29.83,29.76,29.66,10,8,3,13,5,,0.03,1,Rain,344
2011-5-12,62,56,51,57,51,44,94,86,72,29.95,29.83,29.76,10,6,2,13,6,,0.34,6,Rain,349
2011-5-13,55,52,48,44,43,40,83,72,62,30.01,29.95,29.90,10,10,7,14,10,21,0.00,8,Rain,356
2011-5-14,53,48,44,42,37,20,86,71,28,30.07,30.03,29.99,10,9,2,16,10,24,0.05,7,Rain,24
2011-5-15,64,54,43,31,26,21,51,34,26,30.17,30.12,30.07,10,10,10,18,10,26,0.00,0,,31
2011-5-16,69,52,37,35,29,26,68,40,24,30.24,30.16,30.07,10,10,10,15,6,23,0.00,0,,38
2011-5-17,68,52,37,36,30,25,86,45,21,30.11,30.04,29.95,10,10,10,12,3,17,0.00,0,,103
2011-5-18,73,56,39,50,40,32,79,49,29,29.97,29.94,29.89,10,10,10,14,4,21,0.00,2,,92
2011-5-19,71,62,53,52,51,44,81,63,53,30.05,30.01,29.96,10,10,10,12,3,,0.00,5,,102
2011-5-20,73,65,57,63,58,52,94,80,57,30.03,29.94,29.83,10,6,2,16,5,22,0.28,5,Rain,88
2011-5-21,73,64,57,61,59,54,94,88,63,29.82,29.71,29.62,10,5,1,26,9,34,1.39,7,Rain,113
2011-5-22,68,62,57,61,58,55,94,85,68,29.61,29.46,29.35,10,8,0,18,7,30,0.82,6,Fog-Rain-Thunderstorm,177
2011-5-23,75,66,59,57,56,52,94,78,49,29.75,29.52,29.38,10,9,2,15,8,21,0.08,6,Rain,296
2011-5-24,68,62,57,54,51,42,88,70,55,29.90,29.86,29.77,10,10,10,13,8,21,0.00,8,,49
2011-5-25,64,58,52,44,39,35,66,52,34,29.91,29.87,29.85,10,10,10,16,10,24,0.00,3,Rain,34
2011-5-26,63,54,44,39,34,29,76,49,29,30.06,30.01,29.94,10,10,10,12,5,17,0.00,0,,40
2011-5-27,63,54,46,50,40,26,86,61,42,30.02,29.88,29.73,10,10,5,15,8,23,0.11,4,Rain,140
2011-5-28,70,60,50,54,49,44,93,71,42,29.70,29.62,29.57,10,9,4,16,8,22,0.15,3,Rain,196
2011-5-29,66,58,50,55,50,45,86,69,54,29.83,29.80,29.72,10,10,10,12,3,,0.01,5,Rain,70
2011-5-30,88,74,60,70,61,55,94,74,46,29.82,29.70,29.59,10,8,2,24,10,32,0.43,4,Rain-Thunderstorm,130
2011-5-31,77,68,59,63,52,42,73,55,42,30.07,29.83,29.63,10,10,10,28,17,38,0.01,4,,227
2011-6-1,73,63,53,47,42,37,69,45,26,30.19,30.14,30.08,10,10,10,18,12,26,0.00,1,,284
2011-6-2,79,70,60,59,51,43,65,54,46,30.14,30.00,29.85,10,10,10,23,11,31,0.00,5,,118
2011-6-3,89,78,68,70,66,58,84,69,46,29.86,29.75,29.66,10,8,3,21,12,28,0.06,2,Rain-Thunderstorm,175
2011-6-4,82,71,60,63,52,44,86,51,26,30.14,30.05,29.88,10,10,9,14,5,20,0.00,0,,295
2011-6-5,82,70,57,54,52,50,87,54,32,30.18,30.07,29.90,10,10,10,9,3,,0.00,0,,95
2011-6-6,95,80,66,68,62,51,84,53,29,29.87,29.74,29.67,10,10,7,9,5,,0.03,0,,121
2011-6-7,102,86,71,66,59,43,76,43,20,29.65,29.54,29.41,10,10,8,24,9,39,0.00,0,,184
2011-6-8,77,69,57,57,50,46,67,48,32,30.01,29.75,29.54,10,10,10,16,9,26,0.00,2,,303
2011-6-9,64,58,51,47,44,41,72,60,47,30.15,30.07,29.99,10,10,2,15,12,25,0.00,6,Rain,40
2011-6-10,63,56,51,52,50,45,94,79,59,30.03,30.00,29.96,10,9,2,12,7,17,0.10,8,Rain,72
2011-6-11,70,60,51,53,47,44,90,70,40,30.05,30.02,29.97,10,10,10,10,4,,0.00,4,,13
2011-6-12,70,58,46,51,45,40,93,69,38,30.14,30.10,30.06,10,7,0,12,2,17,0.00,1,Fog,124
2011-6-13,77,64,51,51,47,44,83,52,35,30.12,30.05,29.99,10,10,10,18,8,26,0.00,0,,135
2011-6-14,80,70,60,59,52,44,90,65,36,29.99,29.89,29.75,10,8,2,18,10,26,0.69,4,Rain-Thunderstorm,136
2011-6-15,73,64,57,59,57,54,94,85,53,29.75,29.67,29.62,10,7,2,22,5,29,0.57,7,Rain,135
2011-6-16,78,68,61,60,58,56,90,75,53,29.79,29.72,29.65,10,10,6,10,6,,0.00,5,,311
2011-6-17,81,68,57,70,62,55,94,77,60,29.82,29.78,29.74,10,9,1,20,4,28,0.42,2,Rain-Thunderstorm,84
2011-6-18,73,70,66,68,66,63,100,88,78,29.82,29.79,29.76,10,5,0,15,6,25,0.09,6,Fog-Rain-Thunderstorm,93
2011-6-19,77,70,63,66,63,55,100,85,62,29.78,29.76,29.73,10,6,0,9,2,18,0.00,6,Fog,57
2011-6-20,77,68,59,63,60,55,90,74,60,29.78,29.71,29.64,10,10,8,16,8,25,0.00,7,,57
2011-6-21,79,70,62,67,62,58,94,83,64,29.67,29.54,29.43,10,7,1,24,10,41,1.06,8,Rain-Thunderstorm,78
2011-6-22,68,60,53,65,58,50,94,89,77,29.63,29.52,29.43,10,8,2,13,8,,0.33,8,Rain,19
2011-6-23,63,58,53,54,52,50,94,83,67,29.81,29.71,29.62,10,8,2,16,10,24,0.05,8,Rain,334
2011-6-24,77,64,51,55,51,48,89,60,36,29.89,29.86,29.82,10,10,8,7,4,,0.00,0,,317
2011-6-25,72,62,55,57,55,52,90,70,53,29.94,29.90,29.86,10,8,5,14,4,,0.00,4,Rain,138
2011-6-26,80,70,62,65,60,57,86,73,60,29.94,29.85,29.73,10,10,9,13,8,22,0.00,5,,148
2011-6-27,75,68,62,65,57,49,84,64,40,29.98,29.77,29.64,10,10,10,23,10,31,0.00,2,Rain,291
2011-6-28,78,67,57,55,53,50,84,67,39,30.07,30.03,29.99,10,10,10,8,5,,0.00,0,,313
2011-6-29,86,72,59,60,58,55,87,57,40,30.02,29.94,29.83,10,10,8,17,7,26,0.00,1,,152
2011-6-30,95,83,73,75,69,61,79,64,54,29.83,29.73,29.64,10,10,10,15,11,23,0.00,1,,158
2011-7-1,98,84,70,75,70,63,87,69,35,29.91,29.74,29.65,10,10,2,24,8,45,0.16,1,Rain,214
2011-7-2,84,75,66,65,59,50,90,63,32,30.07,30.01,29.90,10,10,8,12,7,18,0.00,1,,311
2011-7-3,86,73,60,61,57,53,93,58,34,30.07,30.03,29.96,10,8,4,8,2,21,0.00,0,,190
2011-7-4,89,76,62,64,61,56,86,59,32,30.00,29.95,29.87,10,10,7,12,4,22,0.00,0,,199
2011-7-5,86,76,69,68,64,59,90,67,49,30.00,29.95,29.89,10,10,4,21,7,29,0.20,2,Rain-Thunderstorm,296
2011-7-6,86,72,60,59,57,52,90,57,35,30.06,30.01,29.95,10,10,10,6,1,,0.00,1,,14
2011-7-7,88,76,66,64,60,56,87,59,37,29.97,29.92,29.84,10,10,10,6,1,,0.00,2,Rain,112
2011-7-8,91,78,66,65,62,57,84,55,34,29.87,29.83,29.78,10,10,10,7,2,,0.00,1,,132
2011-7-9,89,82,75,71,68,65,76,63,51,29.77,29.74,29.70,10,9,7,17,9,24,0.00,3,Rain,187
2011-7-10,93,80,68,72,68,64,94,72,45,29.89,29.78,29.71,10,8,1,26,7,47,0.83,4,Rain-Thunderstorm,172
2011-7-11,87,78,68,66,63,57,94,70,38,29.96,29.82,29.67,10,10,10,15,8,21,0.03,2,Rain-Thunderstorm,316
2011-7-12,78,72,64,60,56,53,73,61,46,30.10,30.04,29.96,10,10,10,15,6,22,0.00,2,,2
2011-7-13,75,65,55,56,53,51,90,61,46,30.15,30.11,30.03,10,10,10,12,5,,0.00,0,,69
2011-7-14,73,68,62,63,60,55,94,78,61,30.03,29.95,29.87,10,8,2,14,7,21,0.24,8,Rain,127
2011-7-15,75,72,69,70,69,63,94,89,73,29.94,29.86,29.76,10,5,0,17,9,22,1.67,6,Fog-Rain-Thunderstorm,113
2011-7-16,87,78,69,77,71,66,94,84,66,29.93,29.90,29.87,10,6,0,13,5,20,2.35,6,Fog-Rain-Thunderstorm,106
2011-7-17,93,84,78,81,78,75,94,83,62,29.94,29.91,29.87,8,5,1,14,5,21,0.04,1,Rain,161
2011-7-18,97,88,79,80,75,71,88,69,47,29.91,29.89,29.84,10,9,6,13,5,,0.01,1,Rain,280
